"album_code";"album_id";"album";"track_id";"main_track_id";"titre";"version";"alternate";"composer_avant";"composer_proposé";"action";"justification";"artist";"publisher";"ayants_droit_structurés";"validation"
"PGO0055";"8b271091f733803b";"The World Wedding March";"f19711f034aa75ddc9a9b3c96502b3f7";"";"Colombian Village Wedding";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629743| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"eacf98b1ddc6ff7648cd057cdbd7d9ed";"";"Colombian Village Wedding Underscore";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"e2ee58c7e4830a5bef0b00fe12f03c0d";"";"Neo Soul Wedding";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629743| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"bff412271050d269e23a3d674e2598a2";"";"Neo Soul Wedding Underscore No Melody";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"54b5e05bfad5b6671a6e56bcb782b313";"";"Wedding In The Casbah";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629743| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"29065fadef161ef13febfc598d0ff1f2";"";"Wedding In The Casbah Underscore";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"53a151dac9082d9f7c1ff4c844d380ad";"";"Wedding In The Casbah Underscore No Percussion";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"a996c74d991f97c3c81dbe481fccd31c";"";"Wedding In The Casbah Underscore Percussion Section";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"026503a0e2205ca2fb3f5eaeac038211";"";"New Orleans Brass Band Wedding";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629752| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"e8c01df3e1155a322f466618db2f4bcc";"";"New Orleans Brass Band Wedding Underscore Drums";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
