"valeur_actuelle";"valeur_canonique_proposée";"actions";"pistes";"albums";"versions";"justifications";"validation"
"Mellow Mood (NS)";"Mellow Mood";"update";"25f7df751c1f6f14 · 58e89e874c56f57c · c2e9947032dc0634 · e1b87e78c5677650 · 5deb2b7a875ac43f · a0f1ea8f40a2e7e9 · 699494de1b15e890 · 67af0ccfc76c2572 · 206edd3fff2ad664";"PGO0015 · Reggae Experience";"Main · General Underscore";"identité-canonique-courante+identité-structurée-courante · identité-canonique-courante+normalisation-mécanique";"pilot-pending"
"Michael Havard";"Michael Havard";"no-change";"8e1dcf6aa9ac6d33771f862a0c9d5786 · 520602865841b7b134578cde6a14e399 · 12e7d98d7fef071d3966e5b2f77ab9ae";"PGO0048 · Solo Piano Vol.2";"Main";"déjà-canonique";"pilot-pending"
"Michael HAVARD (NS)";"Michael HAVARD";"update";"a6c9582fe97bf9fc · edfc1b05824ed0b4 · 10f704830aaa4ea8 · 17602dabd348eb5e · 2264a41547610aba · 5bf253fe29dbdd82 · 3c2016692cba9244 · fc8ace609d8e6a82 · c3c79a9946cf2f4b · e0e9309227f5ec68 · 03880f302ce16a4a · 9bb82ec91cebc629 · 324689b2ce88980d · 60390a1ae0e67caf · 75326a0ef2b9b97e · fe689af185b287d7 · 48dacc20ba776f29 · b76e9e3a67f6168f · de5b1869061864e1 · ef71301b5fd68cc7 · 5c07ab4e06066911 · 740bbf5553300a3f · 8c1e434ee020a701 · 6b7f9c1f5e8629dc · 0da0fa5627422a83 · 20a05b30cf6479bd · 2af8684974217b91 · d55e871078e9eb6c · 497161884cec9b2d · f6057f6a8fa6302d · 9e07f3c471b24db3 · bd41714f86c1a360 · 84cba2df77996461 · 8664e792800226ad · 4b5e451ac569353d · 4c0859e9a8f8eab8 · 6e449d10caebc6d6 · 421dbe3d25331f0b · 0bc592729c715851 · 9037e4465d6563c5 · b9b03082b245eb7c · 824b3ba9ea658d29 · d2468a2443d87ca0 · a5beebf286bd5188";"PGO0030 · Afrobeat";"Main · Commercial · Alternate";"normalisation-mécanique+identité-canonique-courante · identité-structurée-courante+identité-canonique-courante";"pilot-pending"
"Mikael Sala (NS)";"Mikael Sala";"update";"72c4576672942f15 · 5b2082fb60d0f79b · 74e76afa6c3a46e9 · 5ed243195872c8a3 · c44ea0446476559b · 6d1311278a554eb5 · 255f8ab9ddf85244 · 573e80dc421e71ab";"PGO0014 · Vintage Rock And Remixes";"Main · General Underscore";"identité-canonique-courante+normalisation-mécanique · identité-canonique-courante+identité-structurée-courante";"pilot-pending"
"Mike LADD (NS)";"Mike LADD";"update";"c3c79a9946cf2f4b";"PGO0030 · Afrobeat";"Main";"normalisation-mécanique+identité-canonique-courante";"pilot-pending"
"Minimatic";"Minimatic";"no-change";"5f2a57239026b843efe68489cb48b0d8 · e4634d446f840997aa4a01086dc78f5d · 005e370570a4bf54d07ab1f4f884b52a · b3d35ac29d08cb47a7f2a04d6762122d · d1c266d7485df7327a0570725e3dc24c · 824781be84f75378270206d0237558fe · 4c99273d60953fdbc8e09162fd522fa0 · 7d198183d23bba18dd58067f0bba419c · 334e54b441787d3a9be0ff4653d32893 · 10f439d976983b851f0e5d4526d686ad · 20a04b177cf567e4963dc628ed89b015 · 95f358109058ea23703d479eecebb554 · ac213cd088c8a40e78999e55f670b9f1 · f992babb9335890ea5f6596710fe6e45 · 0b87ac194ab56b28e4e06ed5415c7678 · 236727f04eb5e4573ba639882f392278 · e3ed3625af3396202839298177bae065 · 544ae32feb6fd41465032a20714586b4 · da76fc435c03502eb2b93ab5fbacd101 · 18ea7e6092aef286c35f0338d33b8c06 · 971fd7fe57002381d5254e1b5a75198f · 8dbf80ca29a06754f13b420640c39c79 · e2ef6f56970ba36266d00fa448aa718f · 13e913e849b0fc45751fd8bdbd2125c3 · 26192869670dbfdd2a9c50b4b4c77143 · 631e0f98cdf3ad7cc5fa5fcef9231076 · c9890cbb063cc91dfebc52fb77c58bc0 · 7571567ca8bcca78b3c9f13a72416d85 · 54b49b75f6d573471a21a624e710d6ec · 87e0f06e0978bf9697298b65cf174515 · bb70760bb2dcf2cb1dfa009cecf39278 · ff07e5d6a903f01220737f3eeda52e20 · bda47ba47af05eb0fb959fb67c9bffba · 9d3bac06fc2cde54e44022dfa446d53b · b8e216ef7a25d007ea6b0b4b0c67c0da · 288dcf3ef9c0a30be21d85af5b96d27f · 5cd81bbe172f5bc215fd11c28fdaf3f2 · 52ab46d43be3e2f649994241da5d8df1 · a9c15f1a292bb10837672bc66a140f57 · 53aed3691b7d2cc08fde26c7d7b85a4c · 8b972cd298ffa972fcb2f7f143c2b9ad · e208d4c5d29efcf24da2c7f2e1806817 · b0feb7520983096f506c70eac3f5f9d8 · 794e0c6634a085d6590e3eeffa7d0979 · ebf6292bd7e33421d19ac6c2b3a66e46 · ef0f923bda81ff1525ac91312df49218 · 73803ba6b9bafaceb52f19846f7a5f45 · 16c2e4e256b0f4eb5ef5016a965ba838 · f36a9e2f54c8de28b1f63a0a7d7ed015 · 2200ede67a8fb54f3b89ff04097f509f · 116a9ac806e9c3be5e387a609368afe6 · 96a05aedd42c6f6dd8b7ac55fd74fada · 74edb12b9e76c9ea459fec4e1cb56878 · 980b0311d35eef78a7b183ec04e1cc7a · 29c683975d091eafc4a3770b88e9bc1e · 944e64a29810edb5fb770d290586bc86 · 6e49260964d6411f2ea19a25a63bb48d · 7bfe279cc21f6a282376c3152978c56d · 3563376668e34c4917efb326c1953b86 · 9ad2f22520696b8f8e4266c116d590c2 · bdb18b069f0484c0d8c920aef598eb07 · 91cc5e766f4fcfcd5e6205ef82d3002e · d04a05e058556d24f4ead2fcce1045dc · 8ab320fefcff2cb1f291301e1ee12b1e · 3f980998c04f2814aa06d6541bd1de47 · fa02a20b3f456a8f37222483f5eaf8ec · cd16822226bed538896a0c7b34ecee45 · ba0d7688385ea495dd44f059ec74cdd2 · 5dc0799ba792c7de29f28aef7166cc15 · 732623156225924626643b9d8e0c9d36 · aa8cd203e7c874de5e5c88f98c6c6583 · 4ad7aa5b85d1d3dc218008228c9c5a17 · e2d216d1d192a75ff3d31f21094d2e71 · 200d23630ecff28008538be600f61263 · 8be226df93ee3efaa9ccdba6d4858fad · 83c57318510f2a751ea8644443aa65d1 · 376d26b862bee1a6848c268931291d96 · a10a2976e3b663933defc79e1862f179 · 79f28e397ffb7fb69aad24cdf904cbac · a9a93bcea19aee111a216c0aa75bd221 · 875ecd2720a0a3c0e156b41d2b450b23 · 4d935a68237f4a2ccedaec4d3e7ab8b3 · 2d9e073049d7b43c89cabcfdbae5ec38 · acd5a7018ee523ba083e1fbf453abf10 · 3e8f5aa0c1535e98f74814e0e0b3b8bf · 7052611d10b6944f001855a792d39199 · e198af0d97b9e0c5937f95045b7b3f7e · 39e7ccc4a5e29e4db23cdebe18f55deb · 9b5e985daf851a6d0857fdb4db05478c · 549466c0a170b61218de6d8893bb21ff · ad669e676ffd56f1a37f5180902ffe2d · 13fdbf918a671fb68038350966fd327f · 6a4f8d23b8af8d432bd5f06324cc2c49 · 9249c998f4fdf4dbebda332bd57e8e19 · ebd5e621f22dcd3fa73db5d93121a6b4 · 1c79d36e4ed25ccbdfeb8d38b1282894 · 3202f0b96e7c41425b8b51793e71acf0 · a217485248ccc06f0546df9dce9a0af7 · 12157d63445139adc561927a454c7a64 · e05ac9d4b41fc40e3fe84b276dd34dcb · 906170ca4b4100440d6283a3c612c7d2 · 0d758bd7555f09c0e8dbe0bb420627ee · 8278ae2b7b098271b13dbe7e85c7a6a2 · 707d6b12356ca8892e95eaa9366473e1 · 821c62dd2042bb9bf7c4b7ded5470e00 · b4cb7665f76c02e5b5a492e1c5985867 · 484c77d3c6ec68b8ead439143d8f1a85 · e51d91bf92236818 · 59151f206f438068 · cd267e2a64ec3b23 · a69da78455075640 · 43527f19decf7166 · 5f820c96f363769e · 6b5fca7a7b5f08ed · b8abf6face5ba6bb · f22e7b17ae96858d · 79342cda8958d796 · 0dca24dfe3a42911 · d339096d558fe923 · b715ea1525c3a4f1 · f9b7a95dbd7a2c28 · 5ec72391892a6b0e · ea5e907278bf9187 · 529c2d4ec34d2c08 · 982f3578dc3ec8fa · c49c33cd10eec297 · 05d4dc0d8234785e · 4836b0746392c500 · 7f1b8d82b0377660 · 4d6236f551bb5569 · 631450ac79c0f428 · bdbf91035d259a5d · 2cefd0bb2dd8a6a7 · 5f7da5db60d3393d · 9542529434c8296c · 23e50e48b8329d76 · 71fd2039d4b7c8e7 · 30e90fc7492f9840 · 9fded55d9ff121b6 · 24a43544737ce20b · 3456cefba82cd2f2 · 88e7d31a2a61f046 · eb25df8a3037100f · 49a53082991b2053 · c9975e2d0479af11 · d758e6e4de9cfbd5 · 2e14adae6f3e3534 · 2426c432d6b929c7 · c9ef91cf8c181362 · d724d3699372c834 · 3b3f1a7d6c5ba4e5 · 0999384480291543 · 242f291268239396 · a191d5d1681009e4 · c952c286f6b2b019 · b424037ef2f2bc27 · 310c3e5e4849f40e · f3fff6b22bc1c88f · 1f57c6ce263e7702 · 149e859c61f30366 · 6704c1078f7298d9";"PGO0050 · Riviera Bizarre · PGO0016 · Pigalle Bizarre";"Main · Stem Bass · Stem Chords 1 · Stem Chords 2 Melody · Stem Rhythm · 30 sec · 15 sec · Stem Music · Stem Vocals · Stem Chords · Stem Melody · Stem Aqua Fx · Stem Female Vocals · Stem Male Vocals · Stem Funny Vox · Commercial";"déjà-canonique";"pilot-pending"
"Minimatic (NS)";"Minimatic";"update";"899d7039c42b053d · 8ff6b63b396d75f3 · 6e284b025dd3da64 · 95fa8f055661c431 · 6cf571e437d2ace6 · 4e2e1b5bba6fde7b · d6dca6b4d910e6d8 · 99df8f0d0566329d · 7586ccc91e0dd76e · 3ede8947b3f6960d · 90118955e35e20be · 351a36ff0dcf036e · 286e8d844315f2b2 · 533ac7b173a15feb · bfcd5cde98c4ec8e · f9ff2ecf5a522f88 · 7fe7efa86d41b9f0 · 7a9ce6c87ae44d36";"PGO0005 · Electro Kitsch";"Main · General Underscore";"identité-canonique-courante";"pilot-pending"
"Mister Modo (NS)";"Mister Modo";"update";"5d770bb2d9a3d9ef · c6241091d4143e90 · 35c94039cfbaa3c5 · 830aba9842658ea5 · 880d3736115399e4 · cf3ce5d6307575c6 · 179562a644a0dab0 · 5fb6e7cf31c3e05b · 40f0d0e509ff9465 · fc92d01501e29c7a · 44d3e07e83627787 · a7354b8bb089c92c · d8047327d006a403 · 4cc40b90a85c8caa · 855f789a435f0d83 · 4028893f3e2d053e · 21843ab8a99d4052 · bb65992a96970c08 · d2bea35926f5d447 · b26dbfc793cc5669 · f407926454b7549b · 80151fe83f76e4a8 · efc038ed2c176f47 · c9ec7dde932001c3 · 19c76693a7c07b0a · 69a4f555de4b999c · 316edaa4ca9e0cb2 · 7b79834e3b5d4888 · 266bc6448fac9522 · 4789918d50a618eb · 1630a657725777ad · 7d1dad476246d156 · cbda0a3e3e4acbd4 · e078df0dc7278b4e · 396faa616b4db1bf · 16eeddece6b07afa · 290a59f41c422df1 · 27b04d491f94b299 · be843fe51921964f · 96d5042e5b85925e · e0013ede2459a886 · efa31468c960a512 · 446a3b6d688eaace · 55b62320eea3cbf2 · 5282a6c48ec0b0e9 · 30c4c39b14de745d · afdd0475710a2f79 · 8498172502190b6c · 8e59b0daf786f878 · 2ba32c25ff72c939 · ac2d28787795ce16 · c99d1af787a1b729 · 4ad193fce63a0380 · 7efc3a491b33b4b1 · 19bd3afd96ba785c · 46931ec4fb0fcb83 · 600c407018e20093 · cdfcdc1aee4fe75b · a0d9ad22ef744a0c · 0cb9620b576fe7d9 · f79a919ddc7bd542 · 29b784196e1cf73c · eb0eab154dc1c2be · 0bc646e3b26ac0b8 · c1e93806ec63eaf4 · 1633339438f72c86 · fc84ecfffcdb7f00 · 3b751a9ab6d88e17 · 28b8dc05d2711804 · 52fe78101441a98f · 872f71c70c578e17 · b651ee6982adac6e · 8320b6522d74b497 · 253698f560ef5b05 · 924154674724f4f8 · 80db6892b3649010 · c839b20221deaf38 · 2429e093a47c9043 · bdeb421d3afb53c7 · 0e5297fdc46a38b9 · a4d2ba45a252d903 · 0ab16b1b48deba4b · 295ef098364e7d51 · 74a2155e6c6702fb · 42425634879f9ee6 · 26d258a8585bbbd6 · 65fbf6c7231251f7 · f2c4b446ca95346f · 9bca5ec7ea19760f · 8a07eca508bbdf19 · 730c2b582fba7cf9 · 7f4c1f1c519d5972 · 1dbaab6d0929391a · bbb22cb6797bd306 · 50a1d419f075fcfc · 517598f910026e1a · 3c6e8cd390dc1aee · a89ff268ddd4ba1a · 1dbd3f337f79abe6 · 71b54358e921c7da · 928c743c9cb92e82 · 6984238f7b21078f · 1631694bda1303ec · 52f2faeff60a8483 · ddc2edfa32e77744 · edd46b43b8124eb8 · 5ddde6b8aef65a1f · 4334737cf67ab7ae · ecd9bceaba6819b6 · 6469dcba84865a10 · c986336589e0c690 · d56bca8cf619c86f · 021a2fc655298df1 · 34fcb78df0013039 · be53beb59939b0a7 · 540f7b9013df5cdb · 36ab7d1d9583cfb3 · deafbc4c60f41762 · ba93bd393f796b12 · 9c46e658d524f03a · 28f0dce98f4c5927 · e9b49fe343d25c94 · 50dbe2e2ca8b5fde · 5a41ef6f4968f58f · a87a9b825841d38b · 58edeba204ced9b8 · 8444305865f62ffd · 03e321dab9438687 · 85aee919bd9a5933 · ed4ec5c2de0c5f5c · 510ff111ae6dead1 · 3a4c9d223e4bcc9c · f67f1a56d7d7192a · bf4eb8fad8bafd61 · 6305c75110d8e26f · 59beb89185707a07 · 36792d2ca886eb3e · d889ff9ba064c76c · 20b867a0410cc627 · e2f0367ee797427d · d5077abb8c4e7dda · 0cec5d8a31aff2e9 · a2977db6b74df794 · 8c3022d2551d5ec8 · 45a67006b0753f56 · 07b8a81c0bcfc5bd · 72d246f1e587b0d7 · 08a8fe36c30e0e21 · 589a2de90055357f · fa35184ea3e0079c · a90cdc32c765ee48 · 07ae8a430e3e48fc · bd962f6b21cdc45f · 80e0415cb7ba47e7 · e62cdd4846e8178f · 953c78aa7666d6c7 · b90936b09fdc8573 · 07f6af22ad034e01 · bb88bdcd203d3633 · 99b2bb20b68eb448 · c4e60cd5a360ebe7 · 3ecae5fc938c5106 · 6394a75eb6325062 · ce348585bc01eb9c · 04d2ce1f21f9c80b · 8c4bc5b4b6531be0 · 4132deb7f01c0508 · f71872d45bb6d43e · 94cf0f8515a9f37e · 02d0ea40524d60fc · 63876677608324f5 · cae1918ad18cb401 · 860af4aa25ea8217 · d59be736eeed94a1 · 760c0f007e29364c · fbcff8e9bbfff89e · 64e2db5514c17cbc · 6ffb5531c79d883a · 25dd1db4da974f0a · ea32f5c313fe23af · ecae5965344df990 · 5d7b51c072ae0d3a · 344dcc5ca9ea954d · 639aa8474ce164fc · eedb7e6070b822ce · f82eb782709ac871 · 93146cc2ac13c9a8 · 3b7aec7f1145774a · 77cdf4766cac6400 · 3a348575a12dc1f6 · b66807da996befd3 · 3f61c9e60fe234b8 · 5084f1ba51798a90 · 228e94b9549360f0 · 02da234d42769d0b · cc13fb64a56c35a0 · d0ea8458fbaefa92 · 0b0fd61967edb83b · cf0dc4d398c7ae44 · 5d3a5d7f1fb2d43e · 96c3cd6aa7aee3d9 · 711dcda6627be01f · 5cbb14822c38d2c4 · 90a4258f1918fe30 · 47b59590051d8a06 · 0181b811d63ae5ea · 1b08beace9de6bba · 613ecbcce41648f6 · 662aed16e1678430 · 2bcc7917896446e4 · 5a02b912d9e24e78 · 1fad101831fc281a · de64d6e380833107 · 52c250a78740a465 · 3d6e90fd2c552db3 · 2ea120c885f3d356 · 60e890e0a1bb8940 · 110f372db657b03a · 575d5b35200cc9ee · ee2618ba415bf077 · d3c98f89e562ac65 · 0db74f55f5dc3be5 · 9b03b8ce72f1d119 · 04061bed02e52015 · 1772c492af8b38d7 · 35b21dddcc41a905 · 4d7b6b78524823a5 · f471bf0963da8647 · 98bf5ba22a911819 · 4d61b4ab2edae713 · ce138f9a4d3365a2 · 2a91c0e93d167aab · 9d6bc5a591093a3b · 20350943a35fab13 · e858830716400f05 · eb35b4c591906397 · a6709b930f80cc0d · 6f02b450ef485f5c · d200f221afa4de18 · 22f8be8a2f1bc399 · 108aec442aa3722a · 6b39af7098d09548 · 2d41669ded51cf29 · 1ff47c6c15e18164 · a82b284319d94a37 · 2e65b94566fa2206 · 6cf0fef68b98f373 · df7a70c5ad90dc25 · 33818ede7203faf5 · 0da9d406fe7f2995 · 6f848de9e8784cec · 1bc8db2daf96ac85 · 6c45c6d65a61ea41 · f95a745a7a94bb80 · 1424711298043a2c · 1faa14bcb69ab693 · 37f71dc1ce4b1bc2 · 955f0dcbbac6a15f · a29a804ca1e3446c · 952fce9fce1e0cd2 · 340ad80a12130120 · fae59d68781b28ba · 9c3d6bbce1a6be3b · 4564c7105a0cfd52 · 85a19b20739a2568 · e14ec16085f0c040 · 99cd19df352ca4e9 · 386305da06d6f117 · b2c523f30e256915 · 7effe9c7a7bf4a6a · f6483391f3928a7f · e75ccb9fda5cbcd8 · 20a7c9a799d0b9ea · 55aa0985242e2440 · 8f1380332bff1200 · b5035c7abf737d4f · f159002542a2e1cb · 50cbf3fb9232da34 · d214aeceb1a33465 · 5f981bb28f789a3c · cbf6ba8cab94de5f";"PGO0017 · World Hop · PGO0013 · Dark Ambient · PGO0012 · Urban Crime & Riots · PGO0007 · Diggin Hip Hop";"Main · General Underscore";"identité-canonique-courante · identité-canonique-courante+normalisation-mécanique";"pilot-pending"
"Modulhater (SACEM)";"Modulhater";"update";"d61fac27d92967dbdce0e34f80eeefb4 · 16e4e420eba04ed255f41004b55e4060 · 3688ebf05a547ccc27caff994236dfb4 · f86a54a075cc7ad7a6df7c3e79ca8f3a · 75306f17585fb621acb8dcb877285d59 · 0d421eaa72bb37a160311e4edbe3ccd6 · 468eb459ba29c5cd811f59bd0f1e9684 · 10455589090cc1f0cbd39f711c97d335 · 7527f62fd8b23c09d50760c0e210dd33 · dc2c476e897f023aa91ecfb1e865b232 · 1b0370a524a0acea600b7721874c47f0 · 2647b95e001e0942da9c802f41da3288 · b22181caf690fe4b56e374806a1cdafb · 7315aa94b51e99fce3b1606a7d4915f6 · 9ab2df2fc2ced9271418f4be588d3f8f · b3c2d905ad1ae367ec012c8dd5f718c5 · 39c5c66fede80b3b468188b82a238cca · 62ea87989cb34cb7136547d449026447 · 09f4d308982e1eccce5270cccad93cb6 · eee12c183fb394e2113480bcc24f60d8 · db4495310e7edd4add1f622bfbaea62e · 6260589ef07bd7e233a46f330ccbb83c · f232b187df4b21f3766f20165c6a3719 · b8a70da76f6c41dd7b1c5c8d9875132f · 3d825ead18cfb203fea8cf5a7493c46b · b1e870293633ee8a577f00ae6d43964f · 0a6da3052537e5249789ac4cd48db822 · 025d36074cea942752f9655ea5e655ac · 0e9aec15e449c857366a975c9cfac349 · aeefb255b97b17a5b9f634d2efcd1625 · 17c5f7b4514fa7e052486bd4654f1867 · 2c7fd7f0d3d41af18b8f7a8ca5a75324 · 2904a925ab40cf0d4724a41f9812271b · 826d0d587c3f101763a520e42641670c · 3b633db47833f468b24a169fd7781c9f · db98dbfa5295c67a0784787bc2db4c5e · 1a7c5e36dc56f342586dcd7b6b781c0c · 4c62b78ee0eb15e29caec03ca3ed3184 · b64a080b52d9c36825afd4c9ede06d27 · a2e67cc2462ae64026eceaa1a3c0cca5 · d22297db481bd16aa98d37208af2ed77 · b2f81a6756aeea07442a087b67ef999b · 02f20298ec0cecdfd6e28a6fd5e2a397 · 6c534f58ddedb4a539b3630a91be11c6 · d7774aee00d4e43380e58f54456bbff8 · 4ee6cb5d45659eb1488bd478c4ddd972 · 1b1fc7c2968e77c6924634f6437d6de6 · 8f2982168096d563bbb3e95303aae63c · 020c64c0cdd4c2df31874557b9a5d40a · c9daf0b89ea35b4ba3f02e03f840c026 · 18422b4b2d9320304da7c7f08ed108e0 · 9c16a076e4b8d352255610d23beb68ef · 0b5877e108bff8595dea3e100aff7230 · ddad80d1c015a22007b4e91024696100 · 1ea927541f686c625597ea257e4c44eb · ad5a84e125a8834cbf4bf68cef268cff · 00cf00dfbb805389c10bc4bd14f6be95 · 62ec64cfde6992975cf41e3e93027b39 · 12528aae63d2460f4481861df355539f · 7e7b106589023faa2965aad76a08980c · b8bd333b3973236be5c7d67e7b8895fa · 0c946d40dd1836fd7eafd3a0e365a454 · de83b1e8f3b15ea8c6d427f016292142 · 031db54c42c89cee3360b05598c980d9 · 83964433024a0dcea392014ad85ce160 · f9920fec5c9184b6596c4e7d76141ce6 · f0e36906ebe0e70898e066ab5e3a7552 · aced4ea1755f98acb315cfe39d49c9b8 · c1b2d47e1fe44491a446952f6ac8996f · 8c77e1b4677476e12e239a107cd430a1 · 3db04523815aa3442fae14bb2b1ffa33 · af79c8b0361fd5d712e9a3b1ba8ebf25 · 708f9c68990ee34f45e51652bf9e51bb · 8baf473e45a6c7c9695efd4689284ce8 · 49f31e70a4b755779e51b65abfb87aea · bc84883575caa53ab013cfbb52913e77 · c4675c761c7865f6aa7e72787c619168 · 839012d09d9ba4703b13ac40f21fef50 · c743bcef6e4f9ba14cb994952369401f · 9080945f54a9d97d5b7f932b4ebe7b54 · 68410256342d5d6dbac203e245e689a9 · 2b7e30da6e3c9836cc05da209b6722b5 · 18cd536c6cca4dc070328c0f0a7c696b · b5447d5157ec53bb6f281fa3bea4d3ff · 71ae639cd58cc7ab3635cb73acbd5895 · e8f228760f6c02f9131c5d8b5e74395c · 82d5250ae1dd3fb55bcda4cda215fc57 · bb4c995a72c12c8e65668066aef9f654 · e6641f50509585ce3926f547c3676fff · 28cc77bf95ec0d358499adadad5c2b74 · 9efd4c91de37b59a32354e983c871437 · 37592651b2e49aae091ce1d36c888103 · eeccfc6024d48de3c5b0dff8cd1fa928 · 71a5aa303caccf955685b6c50730ef1f · fcda2fc6f0e12bf6987cdca310fdaaf3 · 69fbb6bf9f18f3ddfffcfd8b9f48d0c6 · 6a667d4a1300d69c4951474f2b8a92cf · dd6cf2932db217cf6b000d8ff1f719b7 · 0df086470866a814a6eb076f13681c54 · 1e516b51db55ff5f30311e0ba134f218 · 65410088bb5be88f88f6c47ec57c7740 · 6ff7b32bc72221abaf5d36457888fd9b · 56e4df3cf502d6a1d575d9047a4d7adb · c6dba221552208d1e5aad37350dcb1bd · 38df86bb2ce48cb4 · 96667909bb6ea63c · 95e4c2df2a48518a · b2765f0d76d12873 · fa5fc9004c0a99fd · b1023970bb6e9512 · c617c0b28ea7bc5d · 392d22834e03267e · bae112a1a257021c · c6ba6cbbb63f62a3 · 297a21a9062dcb77 · 99e96c00af6b383b · 79470ac48e277288 · e480e273b7c965e7 · 7afd6084fa673dad · e693a65499c442d5 · 5455264f352f7d19 · b6302d8d9d4e03e4 · ab36fed70e0774c0 · 9752726df993690a · 7d19eeece34acd43 · d7c4344367fa4366 · aeb3ba45890a1809 · 2a787d386a8e286d · f2ffabc40631be1c · ce69ed80a0da60e0 · 0dcc3b57b88b1329 · 6ffc7cd62bbd3170 · 5f87223441272e47 · 7808565679470c0b · 344b591622f7b2f1 · c58149aad6e3443a · 9d94b4e5866a6a20";"PGO0056 · Acid Body Music · PGO0025 · Acid";"Main · 30 sec · 60 sec · Stem Dark · Stem Juno · Stem MS20 · Stem SH 1 · Stem TR8 3 · Stem SH 10 · Stem Bassline Proone Left · Stem Bassline Proone Right · Stem Drum Loop Left · Stem Drum Loop Right · Stem Juno Arpeg · Stem Reverb · Stem SH101 Module · Stem Volca Lead · Stem Bass HH · Stem Drum Volca · Stem Kick Bass · Stem 303 · Stem Bassline · Stem Codekick Bass · Stem Kick Snare · Stem Noise Dly · Stem Bass Kick · Stem Drum Loop · Stem Synth Lead · Stem Bassdrum · Stem Juno 106 A · Stem CR78 Loop · Stem Juno 60 Arpeg · Stem SH101 Loop · Stem TR606 Juno · Stem Bass Pro One Left · Stem Bass Pro One Right · Stem Bassline SH101 · Stem Volca Key Lead · Stem Juno 106 FM7 · Stem Kick Loop · Stem SH 101 Kick · Stem Snare Loop · Stem Synth · Stem Kick HH · Stem Noise Loop · Stem SH 101 B · Stem Stab Dro · Stem Volca KE · Stem Arpeg SH101 · Stem Bass Loop Snar · Stem Bass SH101 Loop · Stem Kick HH BA · Stem Main Drum · Stem Volca Key · Stem Arpeg Juno 1 · Stem CR78 Loop Left · Stem CR78 Loop Right · Stem Drone Left · Stem Drone Right · Stem Noise Loop MS20 · General Underscore";"identité-canonique-courante · identité-canonique-courante+identité-structurée-courante · identité-canonique-courante+normalisation-mécanique";"pilot-pending"
"Molenat Alexis (SACEM)";"Alexis Molenat";"update";"e8b987787d7b1a6c · 3928d3169641ef77 · 5ba81fa529730740 · fe72adafbd22b93d · 96e45242dcf2c07c · 838d36a787cfa682 · 41c85d5d1c5cac2a · c2a459bc72c1bbb4 · a33b788226627760";"PGO0033 · Surf Fiction";"Commercial · Stem · Main";"identité-canonique-courante+normalisation-mécanique · identité-canonique-courante+identité-structurée-courante · identité-canonique-courante";"pilot-pending"
"Muriel Illouz";"Muriel Illouz";"no-change";"82765264f68f5ca2fbf2eaef635a94e9";"PGO0048 · Solo Piano Vol.2";"Main";"déjà-canonique";"pilot-pending"
"Muriel Illouz (NS)";"Muriel Illouz";"update";"a2864c6926f2ae39 · 70c5d38311fda159 · 4b081baaf52dc08c · 47bbe1944890ba88 · 394d1217173bd587 · d4031ca2a3fb4062 · dc6d2c7ecebe409a · dc49e36dc58dc3f0 · a808fac234a4856d · 4e10ed826e9f1988 · 2acc3caf5180fe1d · e5c316455ec95823 · 24aa005523d7f7e6 · 3f4a157bc3d92082 · 4b4509398f7ed6f0 · 0b9486d846f63a0c · 7802828d605e9519 · cee2da5cc17016e3 · f04915e31059ff22 · 33a8ea18903db607 · 070d24cca6b34396 · f5f73f8e8c72acc5 · 2df44ca75c2189b8 · b211e599e25ff11c · 58f024b5c5138ae7 · 074972e78aa8d3f2 · c5a3e72972c3f9a0 · afa30b1142ee3ef2 · 5bedab986a8b107f · 55f1150e7b652ab7 · fb1c5b054d63d7e6 · 6a64796e6b25f93e · 2bb08dd49c5128ed · f6391b936d9502e4";"PGO0003 · Electro Boutique · PGO0002 · Parfum Pop · PGO0001 · Paris Rocks";"Main · General Underscore · Commercial · Light";"identité-canonique-courante+normalisation-mécanique · identité-canonique-courante+identité-structurée-courante";"pilot-pending"
"N Zeng (SACEM)";"N Zeng";"update";"74c86772d46d335db10b705005dea967 · 44e91b67b712058a7d5b76d2dd1ee1c9 · 028887543e3913f210d0a58d511cb46f · 69e43d82f7105f1b244a9f3f05ee4598 · 5faa5f19ad5e457fd93f70f677e9676c · 2937dfffb2d064d4dcc2a4b6d1098ef9 · 6ddf7369a2dddb5abcd487d41e816fc4 · 77bb8cb4d1852348e965225fb4fad157 · 214eb170f0861fb5600323b36d13555d · a4d72b32bd0756e2033e731a0e8aae54 · a0fdcd79abbe1c48d7a6998e0be7c670 · a1bef823fdbe586d14ee3e2a381b91b0 · 91716c8271814a07e8b8ed81a7d60023 · 690f68690dfc8fd3b3461f6af6162ac5 · e7cbf83e62d4c81bb71200b5c34fd5d2 · 9ca93a6fb5140bb6a1454894f94cc8a8 · 60ca996f3a31b9b4bb2b914d872d9f47 · 881e433f26288c62665abd2c4035b467";"PGO0049 · Odyssey Suites And Remixes";"Main · Stem Drums · Stem Horns · Stem Strings Synthesizer · Stem Bass Drums · 60 sec · 30 sec · 15 sec · 6 sec · Stem Drums Bass · Stem Strings Piano Guitar";"identité-canonique-courante";"pilot-pending"
"Nardos TESFAW (NS)";"Nardos TESFAW";"update";"c3c79a9946cf2f4b · e0e9309227f5ec68";"PGO0030 · Afrobeat";"Main";"normalisation-mécanique+identité-canonique-courante";"pilot-pending"
