"album_code";"album_id";"album";"track_id";"main_track_id";"titre";"version";"composer_avant";"composer_proposé";"action";"justification";"validation"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"abf9ed33746f9238";"d3c2d629d7f378ab";"DUBAI RIDERS (30 SEC)";"Commercial";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"a7ee3efcb47113ff";"d3c2d629d7f378ab";"DUBAI RIDERS (60 SEC)";"Commercial";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"9c65f13b285134ac";"d3c2d629d7f378ab";"DUBAI RIDERS STEM BASS";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"75c62c72b6346076";"d3c2d629d7f378ab";"DUBAI RIDERS STEM DRUMS";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"40e66b91bd3025d9";"d3c2d629d7f378ab";"DUBAI RIDERS STEM SYNTHESIZER";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"e1c108eae1a1f5f2";"d3c2d629d7f378ab";"DUBAI RIDERS STEM SYNTHESIZER HOOK";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"7da042ce0a2bdf09";"d3c2d629d7f378ab";"DUBAI RIDERS STEM TABLA";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"15e2e8e3ab4590df";"";"PRISON BREAKER";"Main";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"98e338814818260e";"15e2e8e3ab4590df";"PRISON BREAKER (30 SEC)";"Commercial";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"db21f1671448510d";"15e2e8e3ab4590df";"PRISON BREAKER (60 SEC)";"Commercial";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"744b2e188dca1e36";"15e2e8e3ab4590df";"PRISON BREAKER STEM BASS";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"71425bc5803a9a54";"15e2e8e3ab4590df";"PRISON BREAKER STEM BRASS";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"6fdb08f651dfb8e9";"15e2e8e3ab4590df";"PRISON BREAKER STEM DRUMS";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"02bcafcbb448bf32";"15e2e8e3ab4590df";"PRISON BREAKER STEM FX";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"8bdf994f77593889";"15e2e8e3ab4590df";"PRISON BREAKER STEM GUITAR";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"49a6cb38aa1370f5";"15e2e8e3ab4590df";"PRISON BREAKER STEM PIANO";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"89961fd3600a5879";"15e2e8e3ab4590df";"PRISON BREAKER STEM STRINGS 1";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"9918ce1ea64fc102";"15e2e8e3ab4590df";"PRISON BREAKER STEM STRINGS 2";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"ed0a0e5cab09209f";"15e2e8e3ab4590df";"PRISON BREAKER STEM SYNTHESIZER";"Alternate";"Ugly Mac Beer (SACEM) · Drixxxe (NS)";"Ugly Mac Beer · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
