"album_code";"album_id";"album";"track_id";"main_track_id";"titre";"version";"composer_avant";"composer_proposé";"action";"justification";"validation"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"eca268e19a2ec247";"";"CLOUDY LOVE";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"fdf03aa507cc56d2";"";"MAYDAY IN THE CLOUD";"Main";"Amaury Messelier (NS) · Camille LUCA (NS)";"Amaury Messelier · Camille LUCA";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"2533aad79f5767c6";"";"MAYDAY IN THE CLOUD (INSTRUMENTAL)";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"ee941bc56d91b91f";"";"INTERGALAKTIK";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"1afc40b71d0ef68d";"";"HOURGLASS (EXPLICIT LYRICS)";"Main";"Amaury Messelier (NS) · Cory TATE (NS)";"Amaury Messelier · Cory TATE";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"c48c7911b8eea08b";"";"HOURGLASS (CLEAN VERSION)";"Main";"Amaury Messelier (NS) · Cory TATE (NS)";"Amaury Messelier · Cory TATE";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"1708d672f6e57c6e";"";"HOURGLASS (INSTRUMENTAL)";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"d02e52c1c316c624";"";"ORION BALLAD";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"08a97ce651826df1";"";"STARGAZER FANTASY";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"b5778bf828a057e6";"";"SOFTLY LANDING";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"d95d747cf8b0418e";"";"SPACE MOUNTAINS (INSTRUMENTAL NO VOCAL HOOK)";"Main";"Amaury Messelier (NS) · Cory TATE (NS) · Chris KEMP (NS) · Cally REED (NS)";"Amaury Messelier · Cory TATE · Chris KEMP · Cally REED";"update";"suffixe-société";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"59e2483a02a82f21";"";"GHETTO DREAMS";"Main";"Amaury Messelier (SACEM)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"1e7ac67c54775d97";"";"GHETTO DREAMS (UNDERSCORE, NO VOCALS)";"Main";"Amaury Messelier (SACEM)";"Amaury Messelier";"update";"suffixe-société";"à-valider-avant-première-sauvegarde"
"PGO0032";"2513d961b12a4144";"Diggin Hip-Hop Vol.2";"1a0fc806b1523520";"";"PARLEZ VOUS HIP-HOP";"Main";"Bonetrips (SACEM) · Liqid (SACEM) · Amaury Messelier (SACEM) · Fat Hed (NS)";"Bonetrips · Liqid · Amaury Messelier · Fat Hed";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
