section,name,method,url,body_mode,input_fields,request_example_source,request_json_status,response_top_level_fields
Public API > Accessing Metadata > Categories,Get Categories,GET,{HM_ServiceAPI_URL}/getcategories/{HM_ServiceAPI_MemberToken}/hasactivetrackonly?languagecode={LanguageCode},,,,not-applicable,"Categories, Categories[].Name, Categories[].ID, Categories[].Attributes, Categories[].Attributes[].Name, Categories[].Attributes[].ID, Categories[].Attributes[].Attributes, Categories[].Attributes[].Attributes[].Name, Categories[].Attributes[].Attributes[].ID"
Public API > Accessing Metadata > Right Holders,Get Rightholders By Track,GET,{HM_ServiceAPI_URL}/getrightholders/{HM_ServiceAPI_MemberToken}/{TrackID},,,,not-applicable,"RightHolders, RightHolders[].ID, RightHolders[].FirstName, RightHolders[].MiddleName, RightHolders[].LastName, RightHolders[].Name, RightHolders[].CollectingSociety, RightHolders[].Share, RightHolders[].ShareType, RightHolders[].IPI, RightHolders[].Capacity, RightHolders[].CapacityGroup"
Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlist Categories,Get Featured Playlist Categories,GET,{HM_ServiceAPI_URL}/getfeaturedplaylistcategories/{HM_ServiceAPI_MemberToken}?returnplaylistcount={HM_ServiceAPI_ShowCounts}&skip={HM_ServiceAPI_Skip}&limit={HM_ServiceAPI_Limit}&sort={HM_ServiceAPI_PlaylistSortOrder},,,,not-applicable,"PlaylistCategories, PlaylistCategories[].ID, PlaylistCategories[].Name, PlaylistCategories[].Description, PlaylistCategories[].CreatedDate, PlaylistCategories[].PlaylistCount"
Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlist Categories,Get Featured Playlist Categories & Playlists,GET,{HM_ServiceAPI_URL}/getfeaturedplaylistcategoriesandplaylists/{HM_ServiceAPI_MemberToken}?returnplaylistcount={HM_ServiceAPI_ShowCounts}&returntrackcount={HM_ServiceAPI_ShowCounts}&returnrootobjectsonly={HM_ServiceAPI_ShowCounts}&playlistcategoryid={HM_ServiceAPI_NewMemberPlaylistCategoryID}&skip={HM_ServiceAPI_Skip}&limit={HM_ServiceAPI_Limit}&sort={HM_ServiceAPI_PlaylistSortOrder},,,,not-applicable,"PlaylistObjects, PlaylistObjects[].ID, PlaylistObjects[].Name, PlaylistObjects[].Description, PlaylistObjects[].ObjectType, PlaylistObjects[].HasImage, PlaylistObjects[].AutoSave, PlaylistObjects[].CreatedDate, PlaylistObjects[].PlaylistsCount, PlaylistObjects[].Playlists, PlaylistObjects[].Playlists[].Name, PlaylistObjects[].Playlists[].ID, PlaylistObjects[].Playlists[].Description, PlaylistObjects[].Playlists[].CreatedDate, PlaylistObjects[].Playlists[].TrackCount, PlaylistObjects[].Playlists[].Tracks, PlaylistObjects[].Playlists[].RelatedPlaylists, PlaylistObjects[].Playlists[].HasImage, PlaylistObjects[].Playlists[].LanguageItems, PlaylistObjects[].Playlists[].AutoSave, PlaylistObjects[].Playlists[].Type, PlaylistObjects[].Playlists[].ObjectType, PlaylistObjects[].Playlists[].OrderBy, TotalPlaylistsCount, TotalPlaylistCategoriesCount, TotalCount"
Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlists,Get Featured Playlists,GET,{HM_ServiceAPI_URL}/getfeaturedplaylistsplaylistonly/{HM_ServiceAPI_MemberToken}?showtrackcount={ShowTrackCount}&skip={Skip}&limit={Limit}&languagecode={LanguageCode}&style={StyleID},,,,not-applicable,"Playlists, Playlists[].Name, Playlists[].ID, Playlists[].Description, Playlists[].Tags, Playlists[].CreatedDate, Playlists[].TrackCount, Playlists[].RelatedPlaylists, Playlists[].HasImage, Playlists[].Type"
Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlists,Get Featured Playlist,POST,{HM_ServiceAPI_URL}/getfeaturedplaylistandtracks/{HM_ServiceAPI_MemberToken}/{PlaylistID},raw,"ReturnTracks, ReturnAlbums, ReturnLibraries, AllowInactive, LanguageCode, OrderBy",response.originalRequest,valid,"Playlists, Playlists[].Name, Playlists[].ID, Playlists[].Description, Playlists[].Tags, Playlists[].CreatedDate, Playlists[].Tracks, Playlists[].Tracks[].TrackNumber, Playlists[].Tracks[].Time, Playlists[].Tracks[].LengthSeconds, Playlists[].Tracks[].LengthSecondsTrimStart, Playlists[].Tracks[].LengthSecondsTrimEnd, Playlists[].Tracks[].Comment, Playlists[].Tracks[].Composer, Playlists[].Tracks[].Publisher, Playlists[].Tracks[].Name, Playlists[].Tracks[].AlbumID, Playlists[].Tracks[].LibraryID, Playlists[].Tracks[].ID, Playlists[].Tracks[].Keywords, Playlists[].Tracks[].Lyrics, Playlists[].Tracks[].DisplayTitle, Playlists[].Tracks[].Genre, Playlists[].Tracks[].Tempo, Playlists[].Tracks[].Instrumentation, Playlists[].Tracks[].Bpm, Playlists[].Tracks[].Mixout, Playlists[].Tracks[].Frequency, Playlists[].Tracks[].Bitrate, Playlists[].Tracks[].Version, Playlists[].Tracks[].CdCode, Playlists[].Tracks[].AlbumName, Playlists[].Tracks[].LibraryName, Playlists[].Tracks[].LibraryFeatured, Playlists[].Tracks[].Album, Playlists[].Tracks[].Album.LibraryFeatured, Playlists[].Tracks[].Album.Code, Playlists[].Tracks[].Album.Detail, Playlists[].Tracks[].Album.Name, Playlists[].Tracks[].Album.ID, Playlists[].Tracks[].Library, Playlists[].Tracks[].Library.Featured, Playlists[].Tracks[].Library.Detail, Playlists[].Tracks[].Library.Name, Playlists[].Tracks[].Library.ID, Playlists[].Tracks[].Library.Location, Playlists[].Tracks[].Library.Website, Playlists[].Tracks[].AlternateTracks, Playlists[].Tracks[].LastUpdated, Playlists[].Tracks[].Composers, Playlists[].Tracks[].IsAlternate, Playlists[].Tracks[].AlternateCount, Playlists[].Tracks[].Highlighted, Playlists[].Tracks[].HighlightedInPlaylists, Playlists[].Tracks[].HasLyrics, Playlists[].Tracks[].IsExplicit, Playlists[].Tracks[].Tags, Playlists[].Tracks[].MainTrackID, Playlists[].RelatedPlaylists, Playlists[].HasImage, Playlists[].Type"
Public API > Accessing Metadata > Featured Playlist Categories & Playlists > Playlists,Search Featured Playlist Tracks,POST,{HM_ServiceAPI_URL}/searchfeaturedplaylisttracks/{HM_ServiceAPI_MemberToken}/{HM_ServiceAPI_FeaturedPlaylistID},raw,"Keyword, Fields, ReturnTrackCount, Skip, Limit, OrderBy",request,valid,"Tracks, Tracks[].TrackNumber, Tracks[].Time, Tracks[].LengthSeconds, Tracks[].LengthSecondsTrimStart, Tracks[].LengthSecondsTrimEnd, Tracks[].Comment, Tracks[].Composer, Tracks[].Publisher, Tracks[].Name, Tracks[].AlbumID, Tracks[].LibraryID, Tracks[].ID, Tracks[].Keywords, Tracks[].Lyrics, Tracks[].DisplayTitle, Tracks[].Genre, Tracks[].Tempo, Tracks[].Instrumentation, Tracks[].Bpm, Tracks[].Mixout, Tracks[].Filesize, Tracks[].Frequency, Tracks[].Bitrate, Tracks[].DateIngested, Tracks[].Version, Tracks[].AlternateTracks, Tracks[].RelatedTracks, Tracks[].Categories, Tracks[].ISRC, Tracks[].Status, Tracks[].LastUpdated, Tracks[].CDCode, Tracks[].Composers, Tracks[].AlbumName, Tracks[].LibraryName, Tracks[].LibraryFeatured, Tracks[].Highlighted, Tracks[].HighlightedInPlaylists, Tracks[].HasLyrics, Tracks[].IsExplicit, Tracks[].Tags, Tracks[].IsCached, TotalTracks"
Public API > Accessing Metadata > Shared Playlists,Get Shared Playlist,GET,{HM_ServiceAPI_URL}/getsharedplaylistwithmembertoken/{HM_ServiceAPI_MemberToken}/{PlaylistID}?Skip={Skip}&Limit={Limit},,,,not-applicable,"Playlists, Playlists[].Name, Playlists[].ID, Playlists[].Description, Playlists[].CreatedDate, Playlists[].TrackCount, Playlists[].Tracks, Playlists[].Tracks[].TrackNumber, Playlists[].Tracks[].Time, Playlists[].Tracks[].LengthSeconds, Playlists[].Tracks[].LengthSecondsTrimStart, Playlists[].Tracks[].LengthSecondsTrimEnd, Playlists[].Tracks[].Comment, Playlists[].Tracks[].Composer, Playlists[].Tracks[].Publisher, Playlists[].Tracks[].Name, Playlists[].Tracks[].AlbumID, Playlists[].Tracks[].ID, Playlists[].Tracks[].Keywords, Playlists[].Tracks[].Lyrics, Playlists[].Tracks[].DisplayTitle, Playlists[].Tracks[].Genre, Playlists[].Tracks[].Tempo, Playlists[].Tracks[].Instrumentation, Playlists[].Tracks[].Bpm, Playlists[].Tracks[].Mixout, Playlists[].Tracks[].Frequency, Playlists[].Tracks[].Bitrate, Playlists[].Tracks[].Version, Playlists[].Tracks[].CdCode, Playlists[].Tracks[].AlbumName, Playlists[].Tracks[].LibraryName, Playlists[].Tracks[].LibraryFeatured, Playlists[].Tracks[].Album, Playlists[].Tracks[].Album.LibraryFeatured, Playlists[].Tracks[].Album.Code, Playlists[].Tracks[].Album.Detail, Playlists[].Tracks[].Album.Name, Playlists[].Tracks[].Album.ID, Playlists[].Tracks[].Library, Playlists[].Tracks[].Library.Featured, Playlists[].Tracks[].Library.Detail, Playlists[].Tracks[].Library.Name, Playlists[].Tracks[].Library.ID, Playlists[].Tracks[].AlternateTracks, Playlists[].Tracks[].CDCode, Playlists[].Tracks[].Composers, Playlists[].Tracks[].IsAlternate, Playlists[].Tracks[].AlternateCount, Playlists[].Tracks[].Highlighted, Playlists[].Tracks[].HighlightedInPlaylists, Playlists[].Tracks[].HasLyrics, Playlists[].Tracks[].IsExplicit, Playlists[].Tracks[].Tags, Playlists[].Tracks[].MainTrackID, Playlists[].RelatedPlaylists, Playlists[].HasImage, Playlists[].ExternalPlaylistImageUrl, Playlists[].OrderBy"
Public API > Accessing Metadata > Cuesheets > Generate Cuesheet By Library,Get Generated Cuesheet By ID,POST,{HM_ServiceAPI_URL}/getcuesheet/{HM_ServiceAPI_MemberToken}?filename={Filename},raw,track,response.originalRequest,valid,FullUrl
Public API > Accessing Metadata > Cuesheets > Generate Cuesheet By EDL Matching,Get EDL File Upload URL,POST,{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken},raw,"AssetType, FileName, ContentType, ExpiresInSeconds, ObjectId",response.originalRequest,valid,"PresignedUploadUrl, ResourceUrl"
