section,name,method,url,body_mode,input_fields,request_example_source,request_json_status,response_top_level_fields
Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By URL),Search Similar Tracks (By URL),POST,{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken},raw,"SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Url, SearchFilters.SearchTermBundle.St_Audio.Audio[].Type, SearchFilters.SearchTermBundle.St_Audio.Audio[].Start, SearchFilters.SearchTermBundle.St_Audio.Audio[].Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Limit",request,valid,
Public API > Searching Metadata > Search Similar > HARMIX > Similarity (By Prompt),Search Similar Tracks (By Prompt),POST,{HM_ServiceAPI_URL}/cloudsearch/{HM_ServiceAPI_MemberToken},raw,"SearchFilters, SearchFilters.SearchTermBundle, SearchFilters.SearchTermBundle.St_Audio, SearchFilters.SearchTermBundle.St_Audio.Audio, SearchFilters.SearchTermBundle.St_Audio.Audio[].Prompt, SearchFilters.SearchTermBundle.St_Audio.Start, SearchFilters.SearchTermBundle.St_Audio.Duration, SearchFilters.ResultView, SearchFilters.ResultView.Sort_Predefined, SearchFilters.ResultView.Evoke_IncludeSeed, SearchFilters.ResultView.Evoke_PrioritizeBPM, SearchFilters.ResultView.Evoke_SuppressVocals, SearchFilters.ResultView.Skip, SearchFilters.ResultView.Limit",request,valid,
Public API > Member Management > Registration,Implementation Guide Members,INFO,,,,,not-applicable,
Public API > Member Management > Registration,Register Member,POST,{HM_ServiceAPI_URL}/registermember/{HM_ServiceAPI_Token},raw,"MemberAccount, MemberAccount.FirstName, MemberAccount.LastName, MemberAccount.Email, MemberAccount.Company, MemberAccount.Production, MemberAccount.SubProduction, MemberAccount.Position, MemberAccount.Address1, MemberAccount.Address2, MemberAccount.Suburb, MemberAccount.State, MemberAccount.Postcode, MemberAccount.Country, MemberAccount.Phone, MemberAccount.Username, MemberAccount.Password, MemberAccount.TermsAccept, MemberAccount.PrivacyAccept, MemberAccount.Subscribe, MemberAccount.FileFormat, MemberAccount.SearchFormat, MemberAccount.SearchSort, MemberAccount.Attributes, MemberAccount.ExternalMemberID, MemberAccount.ExternalVerifyToken, MemberAccount.Freelancer, MemberAccount.PositionType, NoMemberEmail, VerifierEmail, RegistrationCode",response.originalRequest,valid,"MemberAccount, MemberAccount.ID, MemberAccount.FirstName, MemberAccount.LastName, MemberAccount.Email, MemberAccount.Company, MemberAccount.Production, MemberAccount.SubProduction, MemberAccount.Position, MemberAccount.Address1, MemberAccount.Address2, MemberAccount.Suburb, MemberAccount.State, MemberAccount.Postcode, MemberAccount.Country, MemberAccount.Phone, MemberAccount.Username, MemberAccount.TermsAccept, MemberAccount.Subscribe, MemberAccount.FileFormat, MemberAccount.SearchFormat, MemberAccount.SearchSort, MemberAccount.SampleEnabled, MemberAccount.Status, MemberAccount.RegionID, MemberAccount.ServiceInfoURLs, MemberAccount.ServiceInfoURLs.DirectDownloadURL, MemberAccount.ServiceInfoURLs.TrackStreamURL, MemberAccount.ServiceInfoURLs.ProfileImageURL, MemberAccount.ServiceInfoURLs.AlbumMontageSampleURL, MemberAccount.ServiceInfoURLs.AlbumArtURL, MemberAccount.ServiceInfoURLs.WaveformURL, MemberAccount.ServiceInfoURLs.MontageWaveformURL, MemberAccount.ServiceInfoURLs.LibraryLogoUrl, MemberAccount.ServiceInfoURLs.PlaylistArtUrl, MemberAccount.ServiceInfoURLs.PlaylistCategoryArtUrl, MemberAccount.ServiceInfoURLs.RightHolderProfileUrl, MemberAccount.ServiceInfoURLs.WaveformDataPointUrl, MemberAccount.ServiceInfoURLs.StyleArtUrl, MemberAccount.ServiceInfoURLs.MemberGroupLogoUrl, MemberAccount.ServiceInfoURLs.MemberGroupArtUrl, MemberAccount.ServiceInfoURLs.MemberGroupProductionArtUrl, MemberAccount.LanguageCode, MemberAccount.Salutation, MemberAccount.MemberTypeID, MemberAccount.FileFormats, MemberAccount.FileFormats[].ID, MemberAccount.FileFormats[].FileExtension, MemberAccount.FileFormats[].BitRate, MemberAccount.FileFormats[].SampleRate, MemberAccount.FileFormats[].SampleSize, MemberAccount.FileFormats[].Isdefaultdownload, MemberAccount.FileFormats[].isdefaultdownloadfortype, MemberAccount.HasProfileImage, MemberAccount.PrivacyAccept, MemberAccount.DownloadEnabled, MemberAccount.DownloadsRemaining, MemberAccount.DownloadEnabledType, MemberAccount.DownloadLimit, MemberAccount.DownloadsUsed, MemberAccount.DownloadStem, MemberAccount.MemberGroups, MemberAccount.MemberGroups[].ID, MemberAccount.MemberGroups[].Name, MemberAccount.MemberGroups[].AssignedRegionID, MemberAccount.MemberGroups[].AssignedRegionChangeEnabled, MemberAccount.MemberGroups[].Type, MemberAccount.MemberGroups[].ProductionsCount, MemberAccount.MemberGroups[].ProductionsTitle, MemberAccount.MemberGroups[].HasLogoArtWork, MemberAccount.MemberGroups[].HasArtWork, MemberAccount.MemberGroups[].HasSearchRankExpression, MemberAccount.PositionType, MemberAccount.Freelancer, MemberAccount.ManagedBy, MemberAccount.ManagedBy.Name, MemberAccount.ManagedBy.Email, MemberAccount.ManagedBy.Phone, MemberAccount.Attributes, MemberChannels"
Public API > Member Management > Registration,Validate Username,POST,{HM_ServiceAPI_URL}/validateusername/{HM_ServiceAPI_Token},raw,"Username, VerifyEmail",response.originalRequest,valid,Code
Public API > Member Management > Registration,Validate Email,POST,{HM_ServiceAPI_URL}/validatememberemail/{HM_ServiceAPI_Token},raw,Email,response.originalRequest,valid,Code
Public API > Member Management > Verification,Send Verify Member Link Email,POST,{HM_ServiceAPI_URL}/sendmemberverifylinkemail/{HM_ServiceAPI_Token},raw,"Email, ExternalVerifyToken",response.originalRequest,valid,Code
Public API > Member Management > Verification,Validate Verify Member Token,GET,{HM_ServiceAPI_URL}/validateverifymembertoken/{HM_ServiceAPI_Token}/{VerifyMemberToken},raw,,,empty,"Token, Token.Value, Token.Expiry, Token.UTCOffset, Token.IsOfSingleUse"
Public API > Member Management > Verification,Verify Member,POST,{HM_ServiceAPI_URL}/verifymember/{HM_ServiceAPI_Token},raw,Token,response.originalRequest,valid,Code
Public API > Member Management > Authentication,Authenticate Member & Generate Persistent Member Token,POST,{HM_ServiceAPI_URL}/getmembertoken/{HM_ServiceAPI_Token},raw,"UserName, Password, PersistentLogin, ReturnMemberDetails",request,valid,
Public API > Member Management > Authentication,Validate Member Token,GET,{HM_ServiceAPI_URL}/getservicetokeninfo/{HM_ServiceAPI_MemberToken},,,,not-applicable,"Token, Token.Value, Token.Expiry, Token.UTCOffset, Token.Type, Token.IsOfSingleUse, Token.TokenUsageState"
Public API > Member Management > Authentication,Expire Member Token,GET,{HM_ServiceAPI_URL}/expiretoken/{HM_ServiceAPI_MemberToken},,,,not-applicable,Code
Public API > Member Management > Authentication,Validate Persistent Member Token,POST,{HM_ServiceAPI_URL}/validatepersistentlogintoken/{HM_ServiceAPI_Token},raw,"Token, RenewExpiry, GenerateMemberToken, ReturnMemberDetails",response.originalRequest,valid,"MemberToken, MemberToken.Value, MemberToken.Expiry, MemberToken.UTCOffset, MemberToken.Type, MemberToken.IsOfSingleUse, PersistentLoginToken, PersistentLoginToken.Token, PersistentLoginToken.Expiry, PersistentLoginToken.UTCOffset"
Public API > Member Management > Authentication,Expire Persistent Member Token,POST,{HM_ServiceAPI_URL}/expirepersistentlogintoken/{HM_ServiceAPI_Token},raw,Token,response.originalRequest,valid,Code
Public API > Member Management > Single Sign-on,Get Single Sign-on Token,GET,{HM_ServiceAPI_URL}/getssotoken/{HM_ServiceAPI_MemberToken},,,,not-applicable,"Token, Token.Value, Token.Expiry, Token.UTCOffset, Token.Type, Token.IsOfSingleUse, Token.ForcePasswordReset"
Public API > Member Management > Single Sign-on,Validate Single Sign-on Token,POST,{HM_ServiceAPI_URL}/validatessotoken/{HM_ServiceAPI_Token},raw,"Token, GenerateMemberToken, ReturnMemberDetails",request,valid,"MemberToken, MemberToken.Value, MemberToken.Expiry, MemberToken.UTCOffset, MemberToken.Type, MemberToken.IsOfSingleUse, MemberToken.ForcePasswordReset, SSOToken, SSOToken.Token, SSOToken.Expiry, SSOToken.UTCOffset, MemberAccount, MemberAccount.HasProfileImage, MemberAccount.DownloadEnabledType"
Public API > Member Management > Profile,Get Member Details,GET,{HM_ServiceAPI_URL}/getmember/{HM_ServiceAPI_MemberToken},,,,not-applicable,"Member, Member.ID, Member.AccessID, Member.FirstName, Member.LastName, Member.Email, Member.Company, Member.Production, Member.SubProduction, Member.Position, Member.Address1, Member.Address2, Member.Suburb, Member.State, Member.Postcode, Member.Country, Member.Phone, Member.Username, Member.TermsAccept, Member.PrivacyAccept, Member.Subscribe, Member.FileFormat, Member.SearchFormat, Member.SearchSort, Member.SampleEnabled, Member.DownloadEnabled, Member.DownloadEnabledType, Member.DownloadLimit, Member.DownloadsUsed, Member.DownloadsRemaining, Member.DownloadStem, Member.MemberGroups, Member.Status, Member.RegionID, Member.PasswordType, Member.ServiceInfoURLs, Member.ServiceInfoURLs.DirectDownloadURL, Member.ServiceInfoURLs.TrackStreamURL, Member.ServiceInfoURLs.ProfileImageURL, Member.ServiceInfoURLs.AlbumMontageDownloadURL, Member.ServiceInfoURLs.AlbumArtURL, Member.ServiceInfoURLs.WaveformURL, Member.ServiceInfoURLs.MontageWaveformURL, Member.ServiceInfoURLs.LibraryLogoUrl, Member.ServiceInfoURLs.PlaylistArtUrl, Member.ServiceInfoURLs.PlaylistCategoryArtUrl, Member.ServiceInfoURLs.RightHolderProfileUrl, Member.ServiceInfoURLs.WaveformDataPointUrl, Member.ServiceInfoURLs.StyleArtUrl, Member.ServiceInfoURLs.MemberGroupLogoUrl, Member.ServiceInfoURLs.MemberGroupArtUrl, Member.ServiceInfoURLs.MemberGroupProductionArtUrl, Member.FileFormats, Member.FileFormats[].ID, Member.HasProfileImage, Member.PositionType, Member.Freelancer, Member.ManagedBy, Member.ManagedBy.Name, Member.ManagedBy.Email, Member.ManagedBy.Phone, Member.Attributes"
Public API > Member Management > Profile,Get Member Details (Invited),POST,{HM_ServiceAPI_URL}/getinvitedmembertoken/{HM_ServiceAPI_Token},raw,,response.originalRequest,non-json:xml,"Token, Token.Value, Token.Expiry, Token.UTCOffset, Token.Type, Token.IsOfSingleUse"
Public API > Member Management > Profile,Update Member Details,POST,{HM_ServiceAPI_URL}/updatemember/{HM_ServiceAPI_MemberToken},raw,"MemberAccount, MemberAccount.ID, MemberAccount.FirstName, MemberAccount.LastName, MemberAccount.Email, MemberAccount.Company, MemberAccount.Production, MemberAccount.SubProduction, MemberAccount.Position, MemberAccount.Address1, MemberAccount.Address2, MemberAccount.Suburb, MemberAccount.State, MemberAccount.Postcode, MemberAccount.Country, MemberAccount.Phone, MemberAccount.Username, MemberAccount.Password, MemberAccount.TermsAccept, MemberAccount.PrivacyAccept, MemberAccount.Subscribe, MemberAccount.Locked, MemberAccount.LockedType, MemberAccount.FileFormat, MemberAccount.SearchFormat, MemberAccount.SearchSort, MemberAccount.Attributes, MemberAccount.Status",response.originalRequest,valid,"MemberAccount, MemberAccount.ID, MemberAccount.FirstName, MemberAccount.LastName, MemberAccount.Email, MemberAccount.Company, MemberAccount.Production, MemberAccount.SubProduction, MemberAccount.Position, MemberAccount.Address1, MemberAccount.Address2, MemberAccount.Suburb, MemberAccount.State, MemberAccount.Postcode, MemberAccount.Country, MemberAccount.Phone, MemberAccount.Username, MemberAccount.TermsAccept, MemberAccount.PrivacyAccept, MemberAccount.Subscribe, MemberAccount.FileFormat, MemberAccount.SearchFormat, MemberAccount.SearchSort, MemberAccount.SampleEnabled, MemberAccount.DownloadEnabled, MemberAccount.DownloadEnabledType, MemberAccount.DownloadLimit, MemberAccount.DownloadsUsed, MemberAccount.DownloadsRemaining, MemberAccount.DownloadStem, MemberAccount.MemberGroups, MemberAccount.Status, MemberAccount.RegionID, MemberAccount.ServiceInfoURLs, MemberAccount.ServiceInfoURLs.DirectDownloadURL, MemberAccount.ServiceInfoURLs.TrackStreamURL, MemberAccount.ServiceInfoURLs.ProfileImageURL, MemberAccount.ServiceInfoURLs.AlbumMontageDownloadURL, MemberAccount.ServiceInfoURLs.AlbumArtURL, MemberAccount.ServiceInfoURLs.WaveformURL, MemberAccount.ServiceInfoURLs.MontageWaveformURL, MemberAccount.ServiceInfoURLs.LibraryLogoUrl, MemberAccount.ServiceInfoURLs.PlaylistArtUrl, MemberAccount.ServiceInfoURLs.PlaylistCategoryArtUrl, MemberAccount.ServiceInfoURLs.RightHolderProfileUrl, MemberAccount.ServiceInfoURLs.WaveformDataPointUrl, MemberAccount.ServiceInfoURLs.StyleArtUrl, MemberAccount.ServiceInfoURLs.MemberGroupLogoUrl, MemberAccount.ServiceInfoURLs.MemberGroupArtUrl, MemberAccount.ServiceInfoURLs.MemberGroupProductionArtUrl, MemberAccount.LanguageCode, MemberAccount.Salutation, MemberAccount.MemberTypeID, MemberAccount.FileFormats, MemberAccount.HasProfileImage, MemberAccount.Attributes"
Public API > Member Management > Profile,Get Member Image Upload URL,POST,{HM_ServiceAPI_URL}/getpresigneduploadurl/{HM_ServiceAPI_MemberToken},raw,"AssetType, FileName, ContentType, ExpiresInSeconds, ObjectId",response.originalRequest,valid,"PresignedUploadUrl, ResourceUrl"
Public API > Member Management > Profile,Confirm Member Image Upload Complete,POST,{HM_ServiceAPI_URL}/confirmpresignedupload/{HM_ServiceAPI_MemberToken},raw,"AssetType, FileName, ObjectId",response.originalRequest,valid,Code
Public API > Member Management > Profile,Remove Member Image,POST,{HM_ServiceAPI_URL}/removeassignedupload/{HM_ServiceAPI_MemberToken},raw,AssetType,response.originalRequest,valid,Code
Public API > Member Management > Profile,Remove Member,POST,{HM_ServiceAPI_URL}/removememberverifypassword/{HM_ServiceAPI_MemberToken},raw,,,empty,Code
Public API > Member Management > Reset Password,Send Reset Password Email,POST,{HM_ServiceAPI_URL}/sendpasswordresetemail/{HM_ServiceAPI_Token},raw,"Username, Email, ExternalResetToken",response.originalRequest,valid,Code
Public API > Member Management > Reset Password,Validate Reset Password Token,GET,{HM_ServiceAPI_URL}/validatepasswordresettoken/{HM_ServiceAPI_Token}/{ResetToken},raw,,,empty,"Token, Token.Value, Token.Expiry, Token.UTCOffset, Token.IsOfSingleUse"
Public API > Member Management > Reset Password,Update Member Password (Reset),POST,{HM_ServiceAPI_URL}/updatepasswordusingtoken/{HM_ServiceAPI_Token},raw,"Token, Password",response.originalRequest,valid,Code
Public API > Member Management > Subscribe,Subscribe Member,POST,{HM_ServiceAPI_URL}/membersubscribe/{HM_ServiceAPI_MemberToken},raw,"Email, FirstName, LastName, Subscribe",response.originalRequest,valid,Code
Public API > Member Management > Member Groups,Validate Verify Member Group Approval Token,GET,{HM_ServiceAPI_URL}/validatemembergroupmemberapprovaltoken/{HM_ServiceAPI_Token}/{VerifyMemberGroupApprovalToken},raw,,,empty,"Token, Token.Value, Token.Expiry, Token.UTCOffset, Token.IsOfSingleUse, Email, Action"
Public API > Member Management > Member Groups,Verify Member Group Approval,POST,{HM_ServiceAPI_URL}/verifymembergroupmemberapproval/{HM_ServiceAPI_Token},raw,Token,request,valid,"Code, Action, Status"
Public API > Member Management > Member Groups,Get Member Group Regions,GET,{HM_ServiceAPI_URL}/getmembergroupregions/{HM_ServiceAPI_MemberToken}/{MemberGroupID},,,,not-applicable,"Regions, Regions[].ID, Regions[].Name, Regions[].SubscribeDefault, Regions[].LicensingModel, Regions[].Blocked"
Public API > Member Management > Member Groups,Update Member Group Region,POST,{HM_ServiceAPI_URL}/updatemembergroupregion/{HM_ServiceAPI_MemberToken}/{MemberGroupID},raw,RegionID,response.originalRequest,valid,Code
Public API > Member Management > Member Groups,Get Member Group Productions,GET,{HM_ServiceAPI_URL}/getmembergroupproductions/{HM_ServiceAPI_MemberToken}/{MemberGroupID}?sort={Sort},,,,not-applicable,"Productions, Productions[].ID, Productions[].Name, Productions[].Description, Productions[].CreatedDate, Productions[].Featured, Productions[].HasArtwork, TotalProductionsCount"
Public API > Member Management > Member Groups,Get Member Group Production Categories,GET,{HM_ServiceAPI_URL}/getmembergroupproductioncategories/{HM_ServiceAPI_MemberToken}/{MemberGroupID}/{MemberGroupProductionID}?returnplaylistcount={ReturnPlaylistCount}&skip={Skip}&limit={Limit}&sort={Sort},,,,not-applicable,"ProductionCategories, ProductionCategories[].ID, ProductionCategories[].Name, ProductionCategories[].CreatedDate, ProductionCategories[].Playlists, ProductionCategories[].PlaylistCount, TotalProductionCategoriesCount"
Public API > Member Management > Member Groups,Get Member Group Production Categories & Playlists,GET,{HM_ServiceAPI_URL}/getmembergroupproductioncategoriesandplaylists/{HM_ServiceAPI_MemberToken}/{MemberGroupID}/{MemberGroupProductionID}?returnplaylistcount={ReturnPlaylistCount}&returntrackcount={ReturnTrackCount}&returnrootobjectsonly={ReturnRootObjectsOnly}&productioncategoryid={ProductionCategoryID}&skip={Skip}&limit={Limit}&sort={Sort},,,,not-applicable,"ProductionCategories, ProductionCategories[].ID, ProductionCategories[].Name, ProductionCategories[].CreatedDate, ProductionCategories[].Playlists, ProductionCategories[].Playlists[].Name, ProductionCategories[].Playlists[].ID, ProductionCategories[].Playlists[].Description, ProductionCategories[].Playlists[].CreatedDate, ProductionCategories[].Playlists[].Tracks, ProductionCategories[].Playlists[].RelatedPlaylists, ProductionCategories[].Playlists[].HasImage, ProductionCategories[].Playlists[].Tags, ProductionCategories[].Playlists[].LanguageItems, ProductionCategories[].Playlists[].AutoSave, ProductionCategories[].Playlists[].Type, ProductionCategories[].Playlists[].ObjectType, ProductionCategories[].Playlists[].OrderBy, ProductionCategories[].Playlists[].HighlightTracks, ProductionCategories[].PlaylistCount, TotalProductionCategoriesCount"
Public API > Member Management > Member Groups,Get Member Group Production Playlist & Tracks,GET,{HM_ServiceAPI_URL}/getmembergroupproductionplaylistandtracks/{HM_ServiceAPI_MemberToken}/{MemberGroupID}/{MemberGroupProductionID}/{FeaturedPlaylistID}?returntracks={ReturnTracks}&includeinactive={IncludeInactive}&languagecode={LanguageCode}&skip={Skip}&limit={Limit}&sort={Sort},,,,not-applicable,"Playlists, Playlists[].Name, Playlists[].ID, Playlists[].Description, Playlists[].CreatedDate, Playlists[].TrackCount, Playlists[].Tracks, Playlists[].Tracks[].LibraryFeatured, Playlists[].Tracks[].TrackNumber, Playlists[].Tracks[].Time, Playlists[].Tracks[].LengthSeconds, Playlists[].Tracks[].Comment, Playlists[].Tracks[].Composer, Playlists[].Tracks[].Publisher, Playlists[].Tracks[].Name, Playlists[].Tracks[].AlbumID, Playlists[].Tracks[].LibraryID, Playlists[].Tracks[].ID, Playlists[].Tracks[].Keywords, Playlists[].Tracks[].Lyrics, Playlists[].Tracks[].DisplayTitle, Playlists[].Tracks[].Genre, Playlists[].Tracks[].Tempo, Playlists[].Tracks[].Instrumentation, Playlists[].Tracks[].Bpm, Playlists[].Tracks[].Mixout, Playlists[].Tracks[].Frequency, Playlists[].Tracks[].Bitrate, Playlists[].Tracks[].Version, Playlists[].Tracks[].Album, Playlists[].Tracks[].Album.LibraryFeatured, Playlists[].Tracks[].Album.Code, Playlists[].Tracks[].Album.Detail, Playlists[].Tracks[].Album.Name, Playlists[].Tracks[].Album.ID, Playlists[].Tracks[].AlternateTracks, Playlists[].Tracks[].RelatedTracks, Playlists[].Tracks[].Categories, Playlists[].Tracks[].LastUpdated, Playlists[].Tracks[].CDCode, Playlists[].Tracks[].Composers, Playlists[].Tracks[].AlbumName, Playlists[].Tracks[].LibraryName, Playlists[].Tracks[].IsAlternate, Playlists[].Tracks[].AlternateCount, Playlists[].Tracks[].Mood, Playlists[].Tracks[].MusicFor, Playlists[].Tracks[].HasLyrics, Playlists[].Tracks[].IsExplicit, Playlists[].Tracks[].Tags, Playlists[].Tracks[].MainTrackID, Playlists[].Tracks[].IsCached, Playlists[].Tracks[].StemCount, Playlists[].Tracks[].Stems, Playlists[].Tracks[].LanguageItems, Playlists[].RelatedPlaylists, Playlists[].HasImage, Playlists[].Tags, Playlists[].LanguageItems, Playlists[].AutoSave, Playlists[].Type, Playlists[].HighlightTracks, Total"
Public API > Member Management > Member Groups,Search Member Group Production Playlist Tracks,POST,{HM_ServiceAPI_URL}/searchmembergroupproductionplaylisttracks/{HM_ServiceAPI_MemberToken}/{HM_ServiceAPI_MemberGroupID}/{HM_ServiceAPI_MemberGroupProductionID}/{HM_ServiceAPI_FeaturedPlaylistID},raw,"Keyword, Fields, ReturnTrackCount, Skip, Limit, OrderBy",response.originalRequest,valid,"Tracks, Tracks[].TrackNumber, Tracks[].Time, Tracks[].LengthSeconds, Tracks[].LengthSecondsTrimStart, Tracks[].LengthSecondsTrimEnd, Tracks[].Comment, Tracks[].Composer, Tracks[].Publisher, Tracks[].Name, Tracks[].AlbumID, Tracks[].LibraryID, Tracks[].ID, Tracks[].Keywords, Tracks[].Lyrics, Tracks[].DisplayTitle, Tracks[].Genre, Tracks[].Tempo, Tracks[].Instrumentation, Tracks[].Bpm, Tracks[].Mixout, Tracks[].Filesize, Tracks[].Frequency, Tracks[].Bitrate, Tracks[].DateIngested, Tracks[].Version, Tracks[].AlternateTracks, Tracks[].RelatedTracks, Tracks[].Categories, Tracks[].ISRC, Tracks[].Status, Tracks[].LastUpdated, Tracks[].CDCode, Tracks[].Composers, Tracks[].AlbumName, Tracks[].LibraryName, Tracks[].LibraryFeatured, Tracks[].Highlighted, Tracks[].HighlightedInPlaylists, Tracks[].HasLyrics, Tracks[].IsExplicit, Tracks[].Tags, Tracks[].IsCached, TotalTracks"
Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories,Create Member Playlist Category,POST,{HM_ServiceAPI_URL}/addmemberplaylistcategory/{HM_ServiceAPI_MemberToken},raw,"PlaylistCategoryName, PlaylistCategoryDescription, ColorHex, AddToTop",response.originalRequest,valid,"PlaylistCategories, PlaylistCategories[].ID, PlaylistCategories[].Name, PlaylistCategories[].Description, PlaylistCategories[].CreatedDate, PlaylistCategories[].ColorHex, PlaylistCategories[].Playlists"
Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories,Update Member Playlist Category,POST,{HM_ServiceAPI_URL}/updatememberplaylistcategory/{HM_ServiceAPI_MemberToken}/{PlaylistCategoryID},raw,"PlaylistCategoryName, PlaylistCategoryDescription, ColorHex",response.originalRequest,valid,"PlaylistCategories, PlaylistCategories[].ID, PlaylistCategories[].Name, PlaylistCategories[].Description, PlaylistCategories[].CreatedDate, PlaylistCategories[].ColorHex, PlaylistCategories[].Playlists"
Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories,Get Member Playlist Categories,GET,{HM_ServiceAPI_URL}/getmemberplaylistcategories/{HM_ServiceAPI_MemberToken}?returnplaylistcount={ReturnPlaylistCount}&skip={Skip}&limit={Limit}&sort={Sort},,,,not-applicable,"PlaylistCategories, PlaylistCategories[].ID, PlaylistCategories[].Name, PlaylistCategories[].Description, PlaylistCategories[].CreatedDate, PlaylistCategories[].ColorHex, PlaylistCategories[].Playlists, PlaylistCategories[].PlaylistCount, TotalPlaylistsCount, TotalPlaylistCategoriesCount"
Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories,Get Member Playlist Categories & Playlists,GET,{HM_ServiceAPI_URL}/getmemberplaylistcategoriesandplaylists/{HM_ServiceAPI_MemberToken}?returnplaylistcount={ReturnPlaylistCount}&returntrackcount={ReturnTrackCount}&returnrootobjectsonly={RootObjectsOnly}&returnautosaveonly={AutoSaveOnly}&returnfirstautosave={FirstAutoSaveOnly}&returnhighlightonly={ReturnHighlightOnly}&playlistcategoryid={PlaylistCategoryID}&skip={Skip}&limit={Limit}&sort={Sort},,,,not-applicable,"PlaylistObjects, PlaylistObjects[].ID, PlaylistObjects[].Name, PlaylistObjects[].Description, PlaylistObjects[].ObjectType, PlaylistObjects[].CreatedDate, PlaylistObjects[].PlaylistsCount, PlaylistObjects[].ColorHex, PlaylistObjects[].Playlists, PlaylistObjects[].Playlists[].Name, PlaylistObjects[].Playlists[].ID, PlaylistObjects[].Playlists[].Description, PlaylistObjects[].Playlists[].Tags, PlaylistObjects[].Playlists[].CreatedDate, PlaylistObjects[].Playlists[].TrackCount, PlaylistObjects[].Playlists[].Tracks, PlaylistObjects[].Playlists[].RelatedPlaylists, PlaylistObjects[].Playlists[].HasImage, PlaylistObjects[].Playlists[].LanguageItems, PlaylistObjects[].Playlists[].AutoSave, PlaylistObjects[].Playlists[].Type, PlaylistObjects[].Playlists[].ObjectType, PlaylistObjects[].Playlists[].ExternalPlaylistImageUrl, PlaylistObjects[].Playlists[].OrderBy, PlaylistObjects[].Playlists[].HighlightTracks, PlaylistObjects[].Playlists[].MaxOrderID, TotalPlaylistsCount, TotalPlaylistCategoriesCount, TotalCount"
Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories,Search Member Playlist Categories & Playlists,POST,{HM_ServiceAPI_URL}/searchmemberplaylistcategoriesandplaylists/{HM_ServiceAPI_MemberToken},raw,"Keywords, Fields, ReturnPlaylistCount, ReturnTrackCount, ReturnContentsOnCategoryMatch, Skip, Limit, Sort",response.originalRequest,valid,"PlaylistObjects, PlaylistObjects[].ID, PlaylistObjects[].Name, PlaylistObjects[].Description, PlaylistObjects[].ObjectType, PlaylistObjects[].CreatedDate, PlaylistObjects[].PlaylistsCount, PlaylistObjects[].ColorHex, PlaylistObjects[].MatchedFields, PlaylistObjects[].Playlists, PlaylistObjects[].Playlists[].Name, PlaylistObjects[].Playlists[].ID, PlaylistObjects[].Playlists[].Description, PlaylistObjects[].Playlists[].Tags, PlaylistObjects[].Playlists[].CreatedDate, PlaylistObjects[].Playlists[].TrackCount, PlaylistObjects[].Playlists[].Tracks, PlaylistObjects[].Playlists[].RelatedPlaylists, PlaylistObjects[].Playlists[].HasImage, PlaylistObjects[].Playlists[].LanguageItems, PlaylistObjects[].Playlists[].AutoSave, PlaylistObjects[].Playlists[].Type, PlaylistObjects[].Playlists[].ObjectType, PlaylistObjects[].Playlists[].ExternalPlaylistImageUrl, PlaylistObjects[].Playlists[].OrderBy, PlaylistObjects[].Playlists[].HighlightTracks, PlaylistObjects[].Playlists[].MaxOrderID, PlaylistObjects[].Playlists[].MatchedFields, TotalPlaylistsCount, TotalPlaylistCategoriesCount, TotalCount"
Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories,Reorder Member Playlist Category,GET,{HM_ServiceAPI_URL}/reordermemberplaylistcategory/{HM_ServiceAPI_MemberToken}/{PlaylistCategoryID}?OrderID={OrderID},,,,not-applicable,Code
Public API > Member Activity > Playlist Categories & Playlists > Playlist Categories,Remove Member Playlist Category,GET,{HM_ServiceAPI_URL}/removememberplaylistcategory/{HM_ServiceAPI_MemberToken}/{PlaylistCategoryID}?keepChildren={keepChildren}&giveShareCopy={giveShareCopy},,,,not-applicable,Code
